plan_id,symbol,name,current_shares,new_shares
cn_hb,159263,Value 100,39600.0,
cn_hb,003376,GF 7-10 Bond,25000.0,
cn_hb,000218,CP Gold ETF,24000.0,
cn_hb,005754,PingAn ST Bond,25000.0,
cn_anti_lost_30,007751,SHS Div Low-Vol Growth,11372.0,
cn_anti_lost_30,159307,Div Low-Vol 100,32400.0,
cn_anti_lost_30,012708,East Sec Div Low-Vol,28355.0,
cn_anti_lost_30,159547,Div Low-Vol,41700.0,
cn_anti_lost_30,159589,CSI Dividend,0.0,
cn_anti_lost_30,159207,Smart High Div,46000.0,
cn_anti_lost_30,560700,SOE SH Return,12500.0,
cn_anti_lost_30,159222,Free Cash Flow,39600.0,
